rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
45,victoriassecret,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,88,40.115915699641675,2900.0,73200000.0,73.2,147000.0,0.147,29800.0,0.0298,423500000.0,0.4235,0.0004,0.04,0.0020081967213114752,0.20081967213114751,False,30.014812574091366,0.21713048536671273,0.15145778114350625,92.95774647887323
46,k.mbappe,None,11-50,Q4 팔로워 높음,Q4 반응 높음,일반 계정,86,42.667616526683794,1200.0,72700000.0,72.7,2500000.0,2.5,1600000.0,1.6,2800000000.0,2.8,0.0216,2.16,0.0343878954607978,3.43878954607978,False,29.75854563182081,9.807505267273193,8.178720181749338,90.14084507042254
47,nehakakkar,India,11-50,Q4 팔로워 높음,Q3 반응 중상,일반 계정,84,39.49249279109494,2300.0,70400000.0,70.4,1500000.0,1.5,370100.0,0.3701,3500000000.0,3.5,0.0054,0.54,0.02130681818181818,2.130681818181818,False,28.55655307616425,5.933088934192566,2.0446800454373344,87.32394366197182
48,nba,United States,11-50,Q4 팔로워 높음,Q1 반응 낮음,팔로워 많음·평균 좋아요 낮음,87,39.59776215929609,12900.0,70100000.0,70.1,370800.0,0.3708,196900.0,0.1969,4800000000.0,4.8,0.0028000000000000004,0.28,0.005289586305278174,0.5289586305278174,False,28.39688364993913,1.1890282219354644,1.0602044680045437,91.54929577464789
49,shawnmendes,Canada,11-50,Q4 팔로워 높음,Q4 반응 높음,일반 계정,83,42.38619116269659,2500.0,69900000.0,69.9,3500000.0,3.5,2000000.0,2.0,8800000000.0,8.8,0.0287,2.87,0.05007153075822604,5.007153075822604,False,28.290057290171415,14.452759741541977,10.867095797046574,85.91549295774648
50,jennierubyjane,None,11-50,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,76,43.69225117546335,860.0,68900000.0,68.9,5100000.0,5.1,5700000.0,5.7,4400000000.0,4.4,0.0836,8.36,0.07402031930333818,7.402031930333817,False,27.751298681921348,21.546027025099722,31.654676258992804,76.05633802816901
51,narendramodi,India,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,85,42.72592922966677,540.0,68900000.0,68.9,2900000.0,2.9,2000000.0,2.0,1600000000.0,1.6,0.0301,3.01,0.0420899854862119,4.2089985486211905,False,27.751298681921348,12.088747305440366,11.397198031048845,88.73239436619718
52,aliaabhatt,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,82,40.11719085829495,1800.0,68700000.0,68.7,1800000.0,1.8,2100000.0,2.1,3300000000.0,3.3,0.031400000000000004,3.1400000000000006,0.026200873362445413,2.6200873362445414,False,27.642609069117825,7.3826337172732375,11.889435819765241,84.50704225352112
53,deepikapadukone,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,83,39.844391380389666,260.0,68400000.0,68.4,1600000.0,1.6,1500000.0,1.5,419000000.0,0.419,0.0223,2.23,0.023391812865497075,2.3391812865497075,False,27.478979921862805,6.550632679600507,8.443771298750473,85.91549295774648
54,tomholland2013,None,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,77,45.84912737507107,1200.0,67700000.0,67.7,5400000.0,5.4,7300000.0,7.3,6600000000.0,6.6,0.10830000000000001,10.83,0.07976366322008863,7.976366322008863,False,27.094370500641535,23.247118227528038,41.007194244604314,77.46478873239437
